,Cell_id,Sweep_id,Original_file
3197,161214AL113_3,CC_2_10,161214_AL_113_CC
3198,161214AL113_3,CC_2_1,161214_AL_113_CC
3199,161214AL113_3,CC_2_2,161214_AL_113_CC
3200,161214AL113_3,CC_2_3,161214_AL_113_CC
3201,161214AL113_3,CC_2_4,161214_AL_113_CC
3202,161214AL113_3,CC_2_5,161214_AL_113_CC
3203,161214AL113_3,CC_2_6,161214_AL_113_CC
3204,161214AL113_3,CC_2_7,161214_AL_113_CC
3205,161214AL113_3,CC_2_8,161214_AL_113_CC
3206,161214AL113_3,CC_2_9,161214_AL_113_CC
3207,161214AL113_3,CC_3_10,161214_AL_113_CC
3208,161214AL113_3,CC_3_1,161214_AL_113_CC
3209,161214AL113_3,CC_3_2,161214_AL_113_CC
3210,161214AL113_3,CC_3_3,161214_AL_113_CC
3211,161214AL113_3,CC_3_4,161214_AL_113_CC
3212,161214AL113_3,CC_3_5,161214_AL_113_CC
3213,161214AL113_3,CC_3_6,161214_AL_113_CC
3214,161214AL113_3,CC_3_7,161214_AL_113_CC
3215,161214AL113_3,CC_3_8,161214_AL_113_CC
3216,161214AL113_3,CC_3_9,161214_AL_113_CC
3217,161214AL113_3,CC_4_10,161214_AL_113_CC
3218,161214AL113_3,CC_4_1,161214_AL_113_CC
3219,161214AL113_3,CC_4_2,161214_AL_113_CC
3220,161214AL113_3,CC_4_3,161214_AL_113_CC
3221,161214AL113_3,CC_4_4,161214_AL_113_CC
3222,161214AL113_3,CC_4_5,161214_AL_113_CC
3223,161214AL113_3,CC_4_6,161214_AL_113_CC
3224,161214AL113_3,CC_4_7,161214_AL_113_CC
3225,161214AL113_3,CC_4_8,161214_AL_113_CC
3226,161214AL113_3,CC_4_9,161214_AL_113_CC
4297,170130AL133_4,CC_1_10,170130_AL_133_CC
4298,170130AL133_4,CC_1_1,170130_AL_133_CC
4299,170130AL133_4,CC_1_2,170130_AL_133_CC
4300,170130AL133_4,CC_1_3,170130_AL_133_CC
4301,170130AL133_4,CC_1_4,170130_AL_133_CC
4302,170130AL133_4,CC_1_5,170130_AL_133_CC
4303,170130AL133_4,CC_1_6,170130_AL_133_CC
4304,170130AL133_4,CC_1_7,170130_AL_133_CC
4305,170130AL133_4,CC_1_8,170130_AL_133_CC
4306,170130AL133_4,CC_1_9,170130_AL_133_CC
4307,170130AL133_4,CC_2_10,170130_AL_133_CC
4308,170130AL133_4,CC_2_1,170130_AL_133_CC
4309,170130AL133_4,CC_2_2,170130_AL_133_CC
4310,170130AL133_4,CC_2_3,170130_AL_133_CC
4311,170130AL133_4,CC_2_4,170130_AL_133_CC
4312,170130AL133_4,CC_2_5,170130_AL_133_CC
4313,170130AL133_4,CC_2_6,170130_AL_133_CC
4314,170130AL133_4,CC_2_7,170130_AL_133_CC
4315,170130AL133_4,CC_2_8,170130_AL_133_CC
4316,170130AL133_4,CC_2_9,170130_AL_133_CC
4317,170130AL133_4,CC_3_10,170130_AL_133_CC
4318,170130AL133_4,CC_3_1,170130_AL_133_CC
4319,170130AL133_4,CC_3_2,170130_AL_133_CC
4320,170130AL133_4,CC_3_3,170130_AL_133_CC
4321,170130AL133_4,CC_3_4,170130_AL_133_CC
4322,170130AL133_4,CC_3_5,170130_AL_133_CC
4323,170130AL133_4,CC_3_6,170130_AL_133_CC
4324,170130AL133_4,CC_3_7,170130_AL_133_CC
4325,170130AL133_4,CC_3_8,170130_AL_133_CC
4326,170130AL133_4,CC_3_9,170130_AL_133_CC
