,Cell_id,Protocol,Trace,Accept,Synthesize Current,Stimulus Start (msec),Stimulus End (msec),Stimulus Amplitude (pA),Offline Bridge (Mohms),Sample Rate (Hz),Protocol_id,Sweep_id,Species,Date,Cell/Electrode,Protocol_number
4067,mouse_2016.03.28_cell_3,28175818.ivb,2,True,False,113.086,678.513,-100.0,67.99,35371.441,ivb_28175818,ivb_28175818_2,mouse,2016.03.28,cell 3,1.0
4068,mouse_2016.03.28_cell_3,28175818.ivb,3,True,False,113.086,678.513,0.0,69.729,35371.441,ivb_28175818,ivb_28175818_3,mouse,2016.03.28,cell 3,1.0
4069,mouse_2016.03.28_cell_3,28175818.ivb,4,True,False,113.086,678.513,100.0,71.467,35371.441,ivb_28175818,ivb_28175818_4,mouse,2016.03.28,cell 3,1.0
4070,mouse_2016.03.28_cell_3,28175818.ivb,5,True,False,113.086,678.513,200.0,72.125,35371.441,ivb_28175818,ivb_28175818_5,mouse,2016.03.28,cell 3,1.0
4071,mouse_2016.03.28_cell_3,28175818.ivb,6,True,False,113.086,678.513,300.0,69.316,35371.441,ivb_28175818,ivb_28175818_6,mouse,2016.03.28,cell 3,1.0
4072,mouse_2016.03.28_cell_3,28175818.ivb,7,True,False,113.086,678.513,400.0,75.091,35371.441,ivb_28175818,ivb_28175818_7,mouse,2016.03.28,cell 3,1.0
4073,mouse_2016.03.28_cell_3,28175818.ivb,8,True,False,113.086,678.513,500.0,75.091,35371.441,ivb_28175818,ivb_28175818_8,mouse,2016.03.28,cell 3,1.0
4074,mouse_2016.03.28_cell_3,28175818.ivb,9,True,False,113.086,678.513,600.0,75.091,35371.441,ivb_28175818,ivb_28175818_9,mouse,2016.03.28,cell 3,1.0
4075,mouse_2016.03.28_cell_3,28175818.ivb,10,True,False,113.086,678.513,700.0,75.091,35371.441,ivb_28175818,ivb_28175818_10,mouse,2016.03.28,cell 3,1.0
4076,mouse_2016.03.28_cell_3,28180420.ivb,1,True,False,106.72,640.317,-200.0,37.742,37481.434,ivb_28180420,ivb_28180420_1,mouse,2016.03.28,cell 3,2.0
4077,mouse_2016.03.28_cell_3,28180420.ivb,2,True,False,106.72,640.317,-100.0,36.552,37481.434,ivb_28180420,ivb_28180420_2,mouse,2016.03.28,cell 3,2.0
4078,mouse_2016.03.28_cell_3,28180420.ivb,3,True,False,106.72,640.317,0.0,35.653,37481.434,ivb_28180420,ivb_28180420_3,mouse,2016.03.28,cell 3,2.0
4079,mouse_2016.03.28_cell_3,28180420.ivb,4,True,False,106.72,640.317,100.0,34.753,37481.434,ivb_28180420,ivb_28180420_4,mouse,2016.03.28,cell 3,2.0
4080,mouse_2016.03.28_cell_3,28180420.ivb,5,True,False,106.72,640.317,200.0,33.854,37481.434,ivb_28180420,ivb_28180420_5,mouse,2016.03.28,cell 3,2.0
4081,mouse_2016.03.28_cell_3,28180420.ivb,6,True,False,106.72,640.317,300.0,42.838,37481.434,ivb_28180420,ivb_28180420_6,mouse,2016.03.28,cell 3,2.0
4082,mouse_2016.03.28_cell_3,28180420.ivb,7,True,False,106.72,640.317,400.0,42.838,37481.434,ivb_28180420,ivb_28180420_7,mouse,2016.03.28,cell 3,2.0
4083,mouse_2016.03.28_cell_3,28180420.ivb,8,True,False,106.72,640.317,500.0,42.838,37481.434,ivb_28180420,ivb_28180420_8,mouse,2016.03.28,cell 3,2.0
4084,mouse_2016.03.28_cell_3,28180420.ivb,9,True,False,106.72,640.317,600.0,42.838,37481.434,ivb_28180420,ivb_28180420_9,mouse,2016.03.28,cell 3,2.0
4085,mouse_2016.03.28_cell_3,28180420.ivb,10,True,False,106.72,640.317,700.0,42.838,37481.434,ivb_28180420,ivb_28180420_10,mouse,2016.03.28,cell 3,2.0
